layer,js_divergence,kl_raw_to_norm_bits,l1_prob_diff,topk_jaccard_raw_norm@50,lens_artifact_score_v2,risk_tier
_summary,0.0353147576380484,0.1429354798115994,0.3472844064235687,0.5384615384615384,0.1846773446218687,low
0,0.00036461084064241887,0.001458194877870504,0.03567081689834595,0.030927835051546393,,
1,0.006187771521176137,0.02480096239706922,0.14544816315174103,0.25,,
2,0.013035809295882102,0.05190155856340345,0.21197611093521118,0.4084507042253521,,
3,0.0428500122210238,0.17250762790456736,0.3868293762207031,0.5151515151515151,,
4,0.030291942513334922,0.12198286570373044,0.32459557056427,0.42857142857142855,,
5,0.022301400811597885,0.09011524904632305,0.27754729986190796,0.4925373134328358,,
6,0.020682252678061994,0.08377030923141497,0.2677001655101776,0.42857142857142855,,
7,0.02281169819357535,0.09256731856328874,0.2807568907737732,0.5625,,
8,0.022999606706630944,0.09337374521318445,0.2820158004760742,0.5384615384615384,,
9,0.02489029260443339,0.10074015985951867,0.2934371531009674,0.5873015873015873,,
10,0.034884091582456575,0.1414570632002043,0.3472844064235687,0.5151515151515151,,
11,0.0333429496736171,0.1349560760019274,0.3397139012813568,0.5384615384615384,,
12,0.0337833824627177,0.13719163548483035,0.3412705361843109,0.6129032258064516,,
13,0.026994363289064946,0.10940036774154675,0.30497464537620544,0.5625,,
14,0.03892781216303701,0.15913267688287056,0.3675955533981323,0.5151515151515151,,
15,0.03821795377160076,0.15605165068832605,0.3630232512950897,0.7241379310344828,,
16,0.034759279204436264,0.1416857571301891,0.34612101316452026,0.6129032258064516,,
17,0.046272961423314926,0.19022199142825616,0.4013938009738922,0.5151515151515151,,
18,0.04850887830766418,0.19936508359824429,0.4096303880214691,0.639344262295082,,
19,0.044419649505328104,0.18145601421594745,0.3907433748245239,0.8867924528301887,,
20,0.049687195942219355,0.20349804167679117,0.4143727421760559,0.6949152542372882,,
21,0.0426199182447718,0.17370348776951056,0.38405078649520874,0.7241379310344828,,
22,0.04402935637702631,0.17992097231675577,0.3899015784263611,0.5873015873015873,,
23,0.04299333020099983,0.17553550071107957,0.3855823576450348,0.6129032258064516,,
24,0.04339187580931411,0.17684195616944323,0.3866674304008484,0.6666666666666666,,
25,0.04438991128648789,0.18084519633357682,0.3909026086330414,0.6666666666666666,,
26,0.038302308574620046,0.1554801738373403,0.36282601952552795,0.3888888888888889,,
27,0.0353147576380484,0.1429354798115994,0.3480335474014282,0.47058823529411764,,
28,0.041536862875421104,0.16848094435533803,0.37696826457977295,0.28205128205128205,,
29,0.03726315849497438,0.15112603532086819,0.35729870200157166,0.3157894736842105,,
30,0.040376638353182476,0.16367094432492268,0.37105056643486023,0.2987012987012987,,
31,0.030074818447464007,0.12111721252844386,0.3194562494754791,0.35135135135135137,,
32,0.030743607919319994,0.12396177332696767,0.32316043972969055,0.3888888888888889,,
33,0.03224202557556465,0.12973468272173255,0.3296341001987457,0.5151515151515151,,
34,0.03415173839773326,0.13725043205359408,0.33923330903053284,0.5384615384615384,,
35,0.03243528973585727,0.12803209747385344,0.32393842935562134,0.7857142857142857,,
36,0.0331738759480599,0.13022758499910536,0.3259914219379425,0.6949152542372882,,
37,0.04502618931925851,0.17293897114184698,0.36685267090797424,0.7857142857142857,,
38,0.0680971594206963,0.24348878052095563,0.41346603631973267,0.6949152542372882,,
39,0.04269304311813553,0.1452006310593664,0.2913632392883301,0.6129032258064516,,
40,0.8688952202380043,8.314121518269378,1.8796435594558716,0.6129032258064516,,
