layer,js_divergence,kl_raw_to_norm_bits,l1_prob_diff,topk_jaccard_raw_norm@50,lens_artifact_score_v2,risk_tier
_summary,0.07408362289771221,0.30494138485110944,0.5050226449966431,0.4084507042253521,0.6695381683522577,high
0,0.0010782939775965008,0.004315927464848,0.060879308730363846,0.05263157894736842,,
1,0.008998689893142993,0.03609467880549434,0.17509207129478455,0.14942528735632185,,
2,0.0336176664296957,0.13671006256458312,0.34039437770843506,0.21951219512195122,,
3,0.021336080331100148,0.0861764593806003,0.2693963050842285,0.26582278481012656,,
4,0.02672422691468003,0.10834367408789862,0.3030238151550293,0.25,,
5,0.032563144057014715,0.13233183572807453,0.33399075269699097,0.3698630136986301,,
6,0.02988552198067137,0.12142987698771245,0.3199812173843384,0.3698630136986301,,
7,0.037495427783036904,0.153279946040274,0.35804182291030884,0.3698630136986301,,
8,0.033508208877722746,0.136632799358683,0.3391478657722473,0.4084507042253521,,
9,0.04403518766378213,0.18128551491544834,0.39117974042892456,0.42857142857142855,,
10,0.04219227129087129,0.17288103448633757,0.3832941949367523,0.4084507042253521,,
11,0.0506851252738508,0.20812394502837356,0.4167064428329468,0.4084507042253521,,
12,0.06694854104016199,0.27532752021639156,0.4750917851924896,0.3888888888888889,,
13,0.051198907319929925,0.2094420415624175,0.4178275465965271,0.4492753623188406,,
14,0.062052864090098844,0.25261084781187576,0.45656710863113403,0.2987012987012987,,
15,0.0858814177685873,0.3474715980200828,0.5302610397338867,0.3888888888888889,,
16,0.07408362289771221,0.30494138485110944,0.5050226449966431,0.3888888888888889,,
17,0.06994294978493679,0.2878522212589697,0.49301889538764954,0.4492753623188406,,
18,0.08508948871871355,0.34917409727663645,0.5374654531478882,0.4925373134328358,,
19,0.08346358086083007,0.3380722946959718,0.5263011455535889,0.6666666666666666,,
20,0.09300354180828657,0.3742696767035493,0.5513564348220825,0.5384615384615384,,
21,0.09900589218267594,0.3907982413473704,0.5576916337013245,0.47058823529411764,,
22,0.09610735570407039,0.3837201233684607,0.5548784732818604,0.3333333333333333,,
23,0.09045378345840188,0.3565857326112319,0.5336551070213318,0.28205128205128205,,
24,0.10970143412079778,0.42848879822757024,0.5824570059776306,0.2345679012345679,,
25,0.14604248613533988,0.5484739994502037,0.6496957540512085,0.47058823529411764,,
26,0.14812543788789123,0.5532214085446208,0.6477774381637573,0.4925373134328358,,
27,0.15916774522027305,0.5879516710511817,0.6678251624107361,0.47058823529411764,,
28,0.1668010393195415,0.6230963257549966,0.6905831694602966,0.4925373134328358,,
29,0.2933564077617614,1.118105648574852,0.9612666964530945,0.639344262295082,,
30,0.3320661445798899,1.2861506706548311,1.0448968410491943,0.6949152542372882,,
31,0.33361667566657494,1.3319784576736167,1.0597423315048218,0.6949152542372882,,
32,0.9213916775396578,8.834247961343168,1.9317104816436768,0.7241379310344828,,
