prompt_id,prompt_variant,layer,p_top1_raw,top1_token_id_raw,top1_token_str_raw,p_answer_raw,answer_rank_raw,p_top1_norm,top1_token_id_norm,top1_token_str_norm,p_answer_norm,answer_rank_norm,kl_norm_vs_raw_bits,kl_raw_to_norm_bits,js_divergence,entropy_bits_norm,entropy_bits_raw,entropy_gap_bits,l1_prob_diff,topk_jaccard_raw_norm@50,topk_jaccard_consecutive@50,norm_only_semantics
pos,orig,0,8.051776603679173e-06,125276,泛,7.855434887460433e-06,17489,1.4627717064286117e-05,21114,itzer,8.718548087927047e-06,21905,0.011195148851649375,0.011214191899389051,0.002795648025678675,16.95681520308155,16.968632474987636,13.995812948851789,0.09838168323040009,0.0,,False
pos,orig,1,8.40584652905818e-06,12826,mente,7.890597771620378e-06,22373,2.1048193957540207e-05,12826,mente,8.089993571047671e-06,48759,0.024138332053897257,0.024064081231616158,0.005997450884261466,16.941764657339245,16.96853754056436,13.980762403109484,0.14380116760730743,0.17647058823529413,0.0,False
pos,orig,2,8.623640496807639e-06,13024,tics,7.891335371823516e-06,31763,5.426699135568924e-05,12826,mente,8.94576351129217e-06,35748,0.0836369151878395,0.083142228590464,0.02052201859203625,16.87640161898293,16.9684260958066,13.915399364753167,0.26627081632614136,0.2987012987012987,0.1111111111111111,False
pos,orig,3,8.891573088476434e-06,92745,tones,7.989278856257442e-06,23417,3.6705765523947775e-05,92745,tones,9.647527804190759e-06,25757,0.0628580573019204,0.06268195781635257,0.015511249642762698,16.893570990983864,16.968104144284183,13.932568736754103,0.2321680337190628,0.7543859649122807,0.0989010989010989,False
pos,orig,4,9.380435585626401e-06,64821,interp,7.809352609911002e-06,60705,3.7058471207274124e-05,64821,interp,7.92320952314185e-06,53285,0.05440412111177089,0.054064149032219996,0.013421103506585957,16.899086818562335,16.96768313075487,13.938084564332573,0.215190589427948,0.5384615384615384,0.12359550561797752,False
pos,orig,5,1.0139784535567742e-05,20022,�,7.875172741478309e-06,50258,6.732951442245394e-05,20022,�,8.784785677562468e-06,38263,0.0759893089073446,0.07554904407005149,0.01867129716272805,16.87306515555619,16.96743960332125,13.91206290132643,0.2542031705379486,0.5151515151515151,0.3157894736842105,False
pos,orig,6,9.673950444266666e-06,3787,rops,7.767328497720882e-06,67321,4.1365132346982136e-05,35511,tons,7.70005863159895e-06,56751,0.0671619392631357,0.06695332968209695,0.016554386226510787,16.879725699658803,16.967046107016078,13.918723445429041,0.2394271343946457,0.5873015873015873,0.20481927710843373,False
pos,orig,7,1.0248062608297914e-05,7173, bul,8.026427167351358e-06,36254,3.970113175455481e-05,93527,Exited,8.70852090884e-06,39477,0.06355257699068281,0.06349957946192787,0.015693871704725953,16.880581485329497,16.966548045259177,13.919579231099735,0.23329704999923706,0.6129032258064516,0.17647058823529413,False
pos,orig,8,1.0377889338997193e-05,7173, bul,8.315430022776127e-06,16076,5.799696737085469e-05,124498,надлеж,1.033910120895598e-05,21603,0.07735544234555763,0.07679486489507031,0.018990343790681,16.862440755316488,16.966204079957453,13.901438501086727,0.2564135193824768,0.42857142857142855,0.17647058823529413,False
pos,orig,9,1.0723748346208595e-05,44820,�单,9.050135304278228e-06,1438,4.5084914745530114e-05,65401,biased,1.5396011804114096e-05,3095,0.07131043489929646,0.07066764436723887,0.017511783412538694,16.866617869940644,16.96568400442124,13.905615615710882,0.24640478193759918,0.42857142857142855,0.25,False
pos,orig,10,1.0624488822941203e-05,35511,tons,8.673890079080593e-06,7290,6.175688758958131e-05,35511,tons,1.2987701666133944e-05,8826,0.08239595287270755,0.08196359923735413,0.020233048773767397,16.850622107549196,16.965249232279863,13.889619853319434,0.2648392915725708,0.47058823529411764,0.20481927710843373,False
pos,orig,11,1.109111872210633e-05,305, h,9.11036113393493e-06,2641,4.994481787434779e-05,35511,tons,1.5150740182434674e-05,3954,0.07581609013117871,0.07549423534900465,0.018650348197877052,16.8541305536268,16.96439344660917,13.893128299397038,0.2545226812362671,0.42857142857142855,0.25,False
