pos_frac,pos_index,layer,kl_bits_baseline,kl_bits_tuned,delta_kl_bits_tuned,answer_rank_baseline,answer_rank_tuned,rank_shift_tuned,entropy_bits_baseline,entropy_bits_tuned
0.2,3,1,33.55977541408227,33.37351682733664,0.18625858674563034,,,,8.73388957977295,8.922810554504395
0.4,6,1,40.37063510527363,39.81011475302639,0.560520352247238,,,,8.76976490020752,8.939645767211914
0.6,10,1,35.13229671845455,34.772365923284035,0.35993079517051285,,,,8.774361610412598,8.954002380371094
0.8,13,1,36.864902225972344,36.33227883555626,0.5326233904160844,,,,8.804121017456055,8.984419822692871
0.92,15,1,36.20937865738849,35.857909408640424,0.3514692487480673,,,,8.787408828735352,8.948909759521484
0.98,16,1,41.5616796279753,41.02504422627989,0.5366354016954133,236789,41909,194880,8.75822925567627,8.970102310180664
0.2,3,2,33.58192127606857,33.40766570249196,0.17425557357660892,,,,8.729714393615723,8.917054176330566
0.4,6,2,40.4225546037773,39.87523151222667,0.5473230915506306,,,,8.751227378845215,8.928434371948242
0.6,10,2,35.165650345832276,34.81607978554974,0.34957056028253675,,,,8.748383522033691,8.935726165771484
0.8,13,2,36.902457733475956,36.36107285889432,0.5413848745816381,,,,8.784318923950195,8.963661193847656
0.92,15,2,36.24950152190418,35.90453184149752,0.3449696804066562,,,,8.77260971069336,8.939547538757324
0.98,16,2,41.54020518625797,41.04777895686275,0.49242622939522107,217224,25990,191234,8.764485359191895,8.977886199951172
0.2,3,3,15.548059906444456,15.21116102787749,0.33689887856696643,,,,1.937704086303711,4.098083972930908
0.4,6,3,34.59530084112293,16.894078683769212,17.701222157353715,,,,11.40223503112793,15.365216255187988
0.6,10,3,33.72814505341575,20.05980323817593,13.66834181523982,,,,9.619254112243652,14.355011940002441
0.8,13,3,19.089017584364857,18.327347699529685,0.7616698848351717,,,,4.88582706451416,7.79536247253418
0.92,15,3,16.50076674399683,16.376948866404057,0.1238178775927743,,,,0.35598352551460266,0.8447449803352356
0.98,16,3,17.707040674397707,17.265612116497532,0.4414285579001742,125729,9399,116330,0.8856656551361084,1.4716265201568604
0.2,3,4,13.532110917838372,13.131329427573718,0.40078149026465404,,,,0.4678807854652405,4.8216681480407715
