layer,kl_bits_baseline,kl_bits_tuned,kl_bits_rot_only,kl_bits_temp_only,delta_kl_bits_tuned,delta_kl_bits_rot_only,delta_kl_bits_temp_only,delta_kl_bits_interaction,answer_rank_baseline,answer_rank_tuned,answer_rank_rot_only,answer_rank_temp_only,rank_shift_tuned,rank_shift_rot_only,rank_shift_temp_only,entropy_bits_baseline,entropy_bits_tuned
1,12.958535018598836,8.225289039445721,11.195165942425303,12.960000310784187,4.733245979153114,1.7633690761735323,-0.0014652921853510747,2.971342195164933,30611,19951,19951,30611,10660,10660,0,17.212020874023438,11.461923599243164
2,12.95124845764708,8.139890710194491,11.182543103782578,12.949150269306555,4.81135774745259,1.7687053538645028,0.002098188340525553,3.0405542052475614,95264,21655,21655,95264,73609,73609,0,17.211170196533203,11.403433799743652
3,12.952720629138467,8.188828717462805,11.208756011496483,12.953100366831572,4.763891911675662,1.7439646176419838,-0.0003797376931053975,3.0203070317267837,81924,21014,21014,81924,60910,60910,0,17.209875106811523,11.43783187866211
4,12.941439943103074,8.175910068660594,11.206769267913716,12.93636026352719,4.76552987444248,1.7346706751893581,0.005079679575883844,3.025779519677238,61776,20678,20678,61776,41098,41098,0,17.2083797454834,11.405830383300781
5,12.932941248428037,8.205163629641754,11.14239272204275,12.923586768082307,4.727777618786282,1.7905485263852867,0.009354480345729499,2.927874612055266,47551,19821,19821,47551,27730,27730,0,17.207326889038086,11.346734046936035
6,12.923717474896963,8.1273346008203,11.168356598878207,12.910506455588285,4.796382874076663,1.7553608760187558,0.013211019308677407,3.0278109787492298,70100,21608,21608,70100,48492,48492,0,17.205141067504883,11.211681365966797
7,12.926829672946976,8.352433749436784,11.211720304466754,12.93926883411858,4.574395923510192,1.7151093684802223,-0.012439161171604596,2.871725716201574,54748,20566,20566,54748,34182,34182,0,17.186315536499023,11.451519966125488
8,12.909203515025348,8.343684648022093,11.223522441899563,12.919248677696944,4.565518867003256,1.6856810731257852,-0.010045162671595165,2.889882956549066,59352,19693,19693,59352,39659,39659,0,17.179603576660156,11.26980972290039
9,12.910522965922768,8.356623934742407,11.238838528854803,12.91065092101501,4.553899031180361,1.6716844370679649,-0.00012795509224261536,2.8823425492046386,93798,23292,23292,93798,70506,70506,0,17.187604904174805,11.454512596130371
10,12.908701325684829,8.226911867739263,11.216930002926691,12.930746749803028,4.681789457945566,1.6917713227581377,-0.022045424118198653,3.012063559305627,105853,27524,27524,105853,78329,78329,0,17.169565200805664,11.349435806274414
11,12.887925821460602,8.10248241984002,11.105197690175348,12.916053927974517,4.785443401620581,1.7827281312852534,-0.02812810651391473,3.0308433768492424,88191,27567,27567,88191,60624,60624,0,17.151134490966797,11.16985034942627
12,12.88359598624248,8.215369768074558,11.186892888988199,12.893532455878729,4.668226218167922,1.6967030972542805,-0.009936469636249612,2.981459590549891,133546,35577,35577,133546,97969,97969,0,17.16531753540039,11.296024322509766
13,12.898328708045991,7.976678486595082,11.10265853831801,12.97940132966272,4.921650221450909,1.7956701697279804,-0.08107262161672857,3.207052673339657,144799,58512,58512,144799,86287,86287,0,17.11528205871582,10.967267990112305
14,12.929558005720263,8.084307293296838,11.144645006838449,12.998706038256767,4.845250712423425,1.7849129988818149,-0.06914803253650348,3.129485746078114,146473,54813,54813,146473,91660,91660,0,17.140714645385742,11.181258201599121
15,12.912828909305537,8.206538802918054,11.132397090374603,12.957360033128142,4.706290106387483,1.7804318189309338,-0.04453112382260471,2.970389411279154,142631,45903,45903,142631,96728,96728,0,17.148744583129883,11.37530517578125
16,12.937593035168574,8.3440451236583,11.284778534553276,13.02608430041292,4.593547911510273,1.6528145006152979,-0.0884912652443468,3.0292246761393216,130804,39992,39992,130804,90812,90812,0,17.134632110595703,11.500276565551758
17,12.957398557241936,8.309215885136167,11.257583949868245,13.051668439555272,4.648182672105769,1.6998146073736908,-0.09426988231333588,3.0426379470454137,113678,29699,29699,113678,83979,83979,0,17.137224197387695,11.469443321228027
18,12.951516750582426,8.28030353773432,11.210693912006406,13.073350636314848,4.671213212848107,1.7408228385760207,-0.12183388573242127,3.0522242600045075,88179,27343,27343,88179,60836,60836,0,17.100914001464844,11.461723327636719
19,12.9523285086945,8.848569988576418,11.286700612659319,13.102828462672733,4.103758520118081,1.665627896035181,-0.15049995397823324,2.5886305780611334,56746,20765,20765,56746,35981,35981,0,17.075286865234375,11.881811141967773
20,12.977962178840299,8.48749378895116,11.187622095427859,13.300674552502894,4.4904683898891395,1.79034008341244,-0.3227123736625952,3.0228406801392946,60487,22759,22759,60487,37728,37728,0,16.932321548461914,11.037014961242676
