prompt_id,prompt_variant,layer,p_top1_raw,top1_token_id_raw,top1_token_str_raw,p_answer_raw,answer_rank_raw,p_top1_norm,top1_token_id_norm,top1_token_str_norm,p_answer_norm,answer_rank_norm,kl_norm_vs_raw_bits,kl_raw_to_norm_bits,js_divergence,entropy_bits_norm,entropy_bits_raw,entropy_gap_bits,l1_prob_diff,topk_jaccard_raw_norm@50,topk_jaccard_consecutive@50,norm_only_semantics
pos,orig,0,1.6418667655671015e-05,37944, PST,1.56228579726303e-05,32010,2.174902692786418e-05,59120, Denote,1.54758345161099e-05,34634,0.0028908866096782975,0.002890889968714447,0.0007222012537440876,15.962338595148823,15.965692944771252,13.02096540879264,0.05033918470144272,0.010101010101010102,,False
pos,orig,1,7.484920206479728e-05,98,.,1.3529598618333694e-05,53620,5.036619768361561e-05,98,.,1.4252655091695487e-05,49771,0.0019150923185622926,0.001867119907887248,0.0004728399721014694,15.94179698732977,15.930740566671101,13.000423800973586,0.0350063182413578,0.8181818181818182,0.0,False
pos,orig,2,0.00012431097275111824,98,.,1.2754670024150982e-05,54003,6.985654908930883e-05,98,.,1.4027582437847741e-05,49039,0.004506668653088609,0.004350967586346838,0.0011038576282978573,15.932032500344384,15.910317282915841,12.9906593139882,0.05457320809364319,0.7241379310344828,0.8181818181818182,False
pos,orig,3,0.0002822924288921058,98,.,1.1962607459281571e-05,53812,0.00011592909868340939,35548,MTY,1.1510261174407788e-05,45358,0.2259915020983184,0.16034239210012388,0.042456170606933505,15.839134351654328,15.878280354713118,12.897761165298144,0.3145802319049835,0.0989010989010989,0.1111111111111111,False
pos,orig,4,0.0003183481749147177,98,.,1.1653734873107169e-05,54430,0.0001412353158229962,35548,MTY,1.0998478501278441e-05,46448,0.24442724685105124,0.17228144922085142,0.04545354739605015,15.825938466818927,15.872262337794126,12.884565280462743,0.327576220035553,0.0989010989010989,0.8867924528301887,False
pos,orig,5,0.0004018427571281791,98,.,1.128794247051701e-05,54645,0.0001106511554098688,35548,MTY,1.1991302926617209e-05,45087,0.22071352652598966,0.1495278435420628,0.03983884994754894,15.863526994991503,15.860231807400972,12.922153808635318,0.2963643968105316,0.1111111111111111,0.7543859649122807,False
pos,orig,6,0.0006512200925499201,98,.,1.057943700288888e-05,55120,0.00015065097250044346,53502,MTQ,1.1000569429597817e-05,46456,0.27963957672798073,0.1882067202232771,0.049078013238646384,15.829475805981874,15.835262678218106,12.88810261962569,0.34066540002822876,0.0989010989010989,0.6949152542372882,False
pos,orig,7,0.0010529604041948915,98,.,1.029634859150974e-05,53829,0.000109316453745123,35548,MTY,1.2321604117460083e-05,42876,0.28747368744442064,0.18766402896847953,0.04816983735293397,15.862338250908739,15.80112068236882,12.920965064552554,0.3282296657562256,0.0989010989010989,0.639344262295082,False
pos,orig,8,0.0019129777792841196,98,.,9.973198757506907e-06,52207,0.0001010230989777483,52755,其特征是,1.2983057786186691e-05,40206,0.33332342374902246,0.22187898845739285,0.053991016097169504,15.872589792761369,15.752023075200507,12.931216606405185,0.34756770730018616,0.07526881720430108,0.7543859649122807,False
pos,orig,9,0.002867896808311343,98,.,9.345983926323242e-06,52540,0.00012739046360366046,27532,审理终结,1.2218140909681097e-05,41150,0.4004605706381447,0.2762189062958135,0.06376748006185157,15.836432160243973,15.706859055222726,12.895058973887789,0.3870665431022644,0.08695652173913043,0.6666666666666666,False
pos,orig,10,0.004206184763461351,98,.,8.741800229472574e-06,52594,0.00018090984667651355,1415,~\\\\,1.0867138371395413e-05,44714,0.48482915376733304,0.34382778009842113,0.07510980037974788,15.79704813319639,15.65030840789662,12.855674946840205,0.4263201355934143,0.07526881720430108,0.6129032258064516,False
pos,orig,11,0.0070279305800795555,98,.,8.186869308701716e-06,52259,0.0003409318160265684,1415,~\\\\,9.53856942942366e-06,45147,0.6244771314631115,0.47543937398251357,0.09514110342694475,15.701523465462358,15.5640350309178,12.760150279106174,0.4952513873577118,0.07526881720430108,0.639344262295082,False
pos,orig,12,0.010094481520354748,98,.,8.011994395928923e-06,51432,0.00020907307043671608,1415,~\\\\,1.17476793093374e-05,39364,0.5921632252011729,0.5016951053764842,0.09249976162824669,15.773987323507496,15.490339777092483,12.832614137151312,0.4829791188240051,0.07526881720430108,0.6949152542372882,False
pos,orig,13,0.015261242166161537,98,.,7.726291187282186e-06,50700,0.00018870709754992276,52755,其特征是,1.1542938409547787e-05,40815,0.645429390856763,0.6084862275815502,0.09986179071698391,15.783698151905815,15.38469289845927,12.842324965549631,0.49685510993003845,0.06382978723404255,0.7241379310344828,False
pos,orig,14,0.018044378608465195,98,.,7.781674867146648e-06,49441,0.00020121896523050964,52755,其特征是,1.1903912309207954e-05,37146,0.6923620804160165,0.691372019290662,0.10763823350080642,15.739416058961659,15.321022169387446,12.798042872605475,0.5211746096611023,0.06382978723404255,0.6949152542372882,False
pos,orig,15,0.021482251584529877,98,.,7.3503938438079786e-06,49486,0.0002896780788432807,52755,其特征是,1.1611981790338177e-05,38887,0.7507223291945003,0.7891540883042562,0.1151986338283982,15.753134771055683,15.221464852455982,12.811761584699498,0.5369983911514282,0.05263157894736842,0.6129032258064516,False
pos,orig,16,0.02985403686761856,98,.,5.698451332136756e-06,53464,0.000267283758148551,52755,其特征是,8.801728654361796e-06,48602,0.8329083664929141,1.007315714758912,0.12941770257281887,15.713600775136548,15.034876059020698,12.772227588780364,0.572833776473999,0.05263157894736842,0.5873015873015873,False
