pos_frac,pos_index,layer,kl_bits_baseline,kl_bits_tuned,delta_kl_bits_tuned,answer_rank_baseline,answer_rank_tuned,rank_shift_tuned,entropy_bits_baseline,entropy_bits_tuned
0.2,3,1,8.489340882621425,3.1512370798633373,5.338103802758088,,,,15.941275596618652,11.39276123046875
0.4,6,1,9.26904074064245,4.849822011283359,4.419218729359092,,,,15.938841819763184,11.421881675720215
0.6,10,1,7.413777206529299,5.158242626659254,2.2555345798700452,,,,15.94193172454834,11.582980155944824
0.8,13,1,11.504111448851633,6.071611528514476,5.432499920337158,,,,15.941189765930176,11.394010543823242
0.92,15,1,10.36372682371871,5.7930003220473285,4.570726501671382,,,,15.942288398742676,11.451224327087402
0.98,16,1,12.07525413754676,7.018036871726736,5.057217265820025,49771,11545,38226,15.941789627075195,11.433134078979492
0.2,3,2,8.494744577511534,3.1361865341210313,5.358558043390503,,,,15.92945671081543,11.269021034240723
0.4,6,2,9.285119742636917,4.800731971351682,4.484387771285236,,,,15.929988861083984,11.402026176452637
0.6,10,2,7.4490983154329,5.2265235226701074,2.222574792762792,,,,15.930967330932617,11.450322151184082
0.8,13,2,11.509262673210277,6.030672090372489,5.478590582837787,,,,15.93082046508789,11.35534381866455
0.92,15,2,10.376145346972212,5.766636757531267,4.609508589440945,,,,15.932714462280273,11.36465072631836
0.98,16,2,12.08634633059681,6.9677663428795364,5.118579987717273,49039,11683,37356,15.932029724121094,11.34400749206543
0.2,3,3,9.464099335667427,3.4397269697960438,6.0243723658713835,,,,15.850826263427734,11.44799518585205
0.4,6,3,10.126753304956054,4.774677975607173,5.352075329348881,,,,15.840482711791992,11.361518859863281
0.6,10,3,8.418492285633189,5.501403393544135,2.917088892089054,,,,15.837276458740234,11.52269458770752
0.8,13,3,12.462321043301012,6.297558895565016,6.1647621477359955,,,,15.837750434875488,11.810897827148438
0.92,15,3,11.34861436696993,5.8807444946563265,5.467869872313603,,,,15.835746765136719,11.434514045715332
0.98,16,3,13.064828551999293,7.094445323852064,5.970383228147229,45358,8941,36417,15.83913803100586,11.433314323425293
0.2,3,4,9.561885919225608,3.484567662390202,6.077318256835406,,,,15.832393646240234,11.570510864257812
0.4,6,4,10.223054646341382,4.794655136366095,5.428399509975287,,,,15.818379402160645,11.5216064453125
0.6,10,4,8.50568680169003,5.512247587611639,2.993439214078392,,,,15.818869590759277,11.575764656066895
0.8,13,4,12.534685839339256,6.356536562060097,6.178149277279158,,,,15.819602966308594,11.935067176818848
0.92,15,4,11.411200917410715,5.907258028043941,5.503942889366774,,,,15.819183349609375,11.421601295471191
0.98,16,4,13.114234352077954,7.052155477935503,6.062078874142451,46448,9659,36789,15.825944900512695,11.334490776062012
0.2,3,5,9.300717193208966,3.3090287542728523,5.991688438936114,,,,15.874480247497559,11.352461814880371
0.4,6,5,9.98855767775115,4.636496107014337,5.352061570736812,,,,15.866228103637695,11.221085548400879
0.6,10,5,8.235511000282402,5.465968432125663,2.769542568156739,,,,15.86526870727539,11.317736625671387
0.8,13,5,12.335267140149604,6.269787137103689,6.065480003045915,,,,15.860451698303223,11.902425765991211
