layer,kl_bits_baseline,kl_bits_tuned,kl_bits_rot_only,kl_bits_temp_only,delta_kl_bits_tuned,delta_kl_bits_rot_only,delta_kl_bits_temp_only,delta_kl_bits_interaction,answer_rank_baseline,answer_rank_tuned,answer_rank_rot_only,answer_rank_temp_only,rank_shift_tuned,rank_shift_rot_only,rank_shift_temp_only,entropy_bits_baseline,entropy_bits_tuned
1,10.599740679289553,6.145724356216087,9.099285609073618,10.68962913158951,4.454016323073466,1.500455070215935,-0.0898884522999559,3.043449705157487,106575,14403,14403,106575,92172,92172,0,16.974504470825195,10.56108283996582
2,10.73081278509572,6.4289034218901495,9.230290297680646,10.992623350365381,4.301909363205571,1.5005224874150738,-0.26181056526966096,3.063197441060158,98935,12758,12758,98935,86177,86177,0,16.9440975189209,11.242220878601074
3,10.991438733866238,6.254146346903623,9.138604970644476,11.705096566025341,4.737292386962615,1.8528337632217617,-0.7136578321591038,3.598116455899957,108087,23042,23042,108087,85045,85045,0,16.81198501586914,9.697065353393555
4,10.850578751434167,6.0576602958764845,9.172038397972207,11.379959924916186,4.7929184555576825,1.67854035346196,-0.5293811734820189,3.6437592755777413,101466,19326,19326,101466,82140,82140,0,16.868202209472656,9.349488258361816
5,10.770868920342876,5.974464720417505,9.155707613376878,11.168829207202776,4.79640419992537,1.615161306965998,-0.3979602868599006,3.579203179819273,83792,12994,12994,83792,70798,70798,0,16.902727127075195,8.931772232055664
6,10.750804736362618,6.156143065205356,9.16947172889073,11.073738623679523,4.594661671157262,1.581333007471887,-0.3229338873169052,3.33626255100228,107437,21599,21599,107437,85838,85838,0,16.908737182617188,9.745139122009277
7,10.750072778200545,6.684138746452024,9.284405670670534,11.082714742193355,4.0659340317485215,1.4656671075300114,-0.33264196399280976,2.93290888821132,88250,16677,16677,88250,71573,71573,0,16.89779281616211,11.32163143157959
8,10.709233777926663,6.392610267043873,9.176110259214035,11.000961757209813,4.31662351088279,1.5331235187126282,-0.2917279792831504,3.0752279714533124,106275,25251,25251,106275,81024,81024,0,16.8955135345459,10.557332038879395
9,10.744526681675522,6.282381082661072,9.210607915185303,11.09717710726971,4.46214559901445,1.5339187664902187,-0.352650425594188,3.2808772581184193,102057,22643,22643,102057,79414,79414,0,16.885211944580078,10.56923770904541
10,10.913160486360729,6.726531094028499,9.433699682300919,11.487217249092078,4.18662939233223,1.4794608040598103,-0.5740567627313489,3.2812253510037683,98780,22096,22096,98780,76684,76684,0,16.835922241210938,12.040313720703125
