pos_frac,pos_index,layer,kl_bits_baseline,kl_bits_tuned,delta_kl_bits_tuned,answer_rank_baseline,answer_rank_tuned,rank_shift_tuned,entropy_bits_baseline,entropy_bits_tuned
0.2,3,1,13.519886391015044,7.9780405891899155,5.541845801825128,,,,17.21143341064453,11.852805137634277
0.4,6,1,20.01696717536023,15.639573938760368,4.377393236599861,,,,17.211387634277344,11.891792297363281
0.6,9,1,7.573032453297657,7.491638568089117,0.08139388520853963,,,,17.212387084960938,11.938429832458496
0.8,12,1,16.29201970582438,11.234768043474181,5.057251662350199,,,,17.21161651611328,11.910308837890625
0.92,14,1,14.434173680225873,10.670488150479082,3.763685529746791,,,,17.211517333984375,11.745051383972168
0.98,15,1,12.784612403434295,9.207667011855548,3.5769453915787466,103210,49936,53274,17.211400985717773,12.141746520996094
0.2,3,2,13.504482248942564,7.951537374761354,5.55294487418121,,,,17.210803985595703,11.877693176269531
0.4,6,2,19.990234192110112,15.465486220250998,4.524747971859114,,,,17.210912704467773,11.66108512878418
0.6,9,2,7.555792224444565,7.6026251640663185,-0.046832939621753056,,,,17.21212387084961,11.817164421081543
0.8,12,2,16.266835942293238,10.9697641043433,5.297071837949938,,,,17.21063232421875,11.64138412475586
0.92,14,2,14.422433456547374,10.57128786953081,3.851145587016564,,,,17.21074676513672,11.647648811340332
0.98,15,2,12.772726338467864,9.110961855205995,3.6617644832618694,60382,44859,15523,17.210529327392578,12.067290306091309
0.2,3,3,13.496881991635634,7.9208921301694115,5.575989861466223,,,,17.208723068237305,11.905973434448242
0.4,6,3,19.971018914494515,15.409286417532652,4.561732496961863,,,,17.208345413208008,11.634378433227539
0.6,9,3,7.542455313835457,7.565126754802796,-0.022671440967338974,,,,17.210887908935547,11.883027076721191
0.8,12,3,16.25659127974664,11.03740625678885,5.21918502295779,,,,17.208528518676758,11.796452522277832
0.92,14,3,14.409621436988697,10.476471770318334,3.9331496666703636,,,,17.208635330200195,11.590972900390625
0.98,15,3,12.766856914559218,9.122977939056478,3.6438789755027408,57101,44098,13003,17.208303451538086,12.163429260253906
0.2,3,4,13.48750274578818,7.891694979497734,5.595807766290447,,,,17.206506729125977,11.81196403503418
0.4,6,4,19.971146869586754,15.4010436330421,4.570103236544654,,,,17.204357147216797,11.465124130249023
0.6,9,4,7.552642190211362,7.518046848094403,0.03459534211695914,,,,17.20978355407715,11.851310729980469
0.8,12,4,16.249186394731094,11.014245009231853,5.234941385499241,,,,17.20693588256836,11.662693977355957
0.92,14,4,14.4068311904611,10.442245846935428,3.9645853435256715,,,,17.206518173217773,11.435354232788086
0.98,15,4,12.762346841522993,9.104457471350363,3.6578893701726294,44884,43923,961,17.205886840820312,12.003312110900879
0.2,3,5,13.464540998106186,7.822318554000884,5.642222444105301,,,,17.20413589477539,11.588480949401855
0.4,6,5,19.949947600110804,15.414633014182675,4.535314585928129,,,,17.202682495117188,11.418776512145996
0.6,9,5,7.538403402581128,7.297732944755524,0.2406704578256038,,,,17.20933723449707,11.996947288513184
0.8,12,5,16.250141242408684,11.229323072747865,5.020818169660819,,,,17.205684661865234,11.792428970336914
0.92,14,5,14.402010172792114,10.601082143966284,3.8009280288258296,,,,17.20412254333496,11.481103897094727
0.98,15,5,12.741878154347905,9.067786642602792,3.6740915117451127,9896,36274,-26378,17.203651428222656,11.773666381835938
0.2,3,6,13.442706080752643,7.7617957953704515,5.680910285382192,,,,17.19772720336914,11.577807426452637
0.4,6,6,19.9178349995417,15.160047784041064,4.757787215500636,,,,17.19533348083496,11.224809646606445
0.6,9,6,7.537892270142764,7.2466671681307355,0.2912251020120289,,,,17.206605911254883,12.152459144592285
0.8,12,6,16.242415781731925,11.094573289935648,5.147842491796277,,,,17.200519561767578,11.786016464233398
0.92,14,6,14.402231686446425,10.588875503338645,3.8133561831077802,,,,17.198549270629883,11.62923526763916
0.98,15,6,12.728192462922845,9.042690934188892,3.685501528733953,5242,31165,-25923,17.19634246826172,11.913717269897461
0.2,3,7,13.328080331883184,7.2684614975786745,6.059618834304509,,,,17.148605346679688,11.041769981384277
0.4,6,7,19.78333218381612,14.71314605025983,5.070186133556291,,,,17.1502742767334,10.581398963928223
0.6,9,7,7.445468793569091,7.018455133533633,0.42701366003545793,,,,17.18155860900879,12.261892318725586
