prompt_id,prompt_variant,layer,p_top1_raw,top1_token_id_raw,top1_token_str_raw,p_answer_raw,answer_rank_raw,p_top1_norm,top1_token_id_norm,top1_token_str_norm,p_answer_norm,answer_rank_norm,kl_norm_vs_raw_bits,kl_raw_to_norm_bits,js_divergence,entropy_bits_norm,entropy_bits_raw,entropy_gap_bits,l1_prob_diff,topk_jaccard_raw_norm@50,topk_jaccard_consecutive@50,norm_only_semantics
pos,orig,0,1.0,6574, simply,6.665125191535285e-30,53529,0.9999761581420898,6574, simply,3.78068819198267e-14,160330,0.0007064566955274777,3.4396787348766934e-05,1.2166025456108836e-05,0.0004968370943064781,2.871756737530093e-10,-2.8851013436911646,4.782987525686622e-05,0.2987012987012987,,False
pos,orig,1,0.28942352533340454,128625, dieſem,0.0,520,0.0036406624130904675,253613,󠁁,3.182086154158146e-15,236789,11.203768514621462,4.149695430128839,0.7534851444892858,8.758229565869996,4.1424532407010055,5.872631385084525,1.7382783889770508,0.6949152542372882,0.010101010101010102,False
pos,orig,2,0.5512384176254272,128625, dieſem,0.0,502,0.003793970914557576,253613,󠁁,7.779866330423924e-15,217224,13.368642096123876,5.255500191583379,0.8041144291461847,8.764486982638989,2.8989732715430714,5.878888801853518,1.7842376232147217,0.8181818181818182,0.7543859649122807,False
pos,orig,3,0.7061742544174194,128625, dieſem,0.0,485,0.9160849452018738,6574, simply,2.9396833856054627e-09,125729,97.00820934243102,12.004521112899905,0.9905297780780749,0.8856657644715893,1.8005782106183044,-1.9999324163138816,1.9933511018753052,0.42857142857142855,0.4492753623188406,False
pos,orig,4,0.604412317276001,128625, dieſem,0.0,503,0.9437535405158997,6574, simply,3.150549332531227e-08,53684,98.7723055612524,14.400264204920555,0.9970938399135556,0.6182732872898627,2.251862406308823,-2.267324893495608,1.9981234073638916,0.2987012987012987,0.4925373134328358,False
pos,orig,5,0.5768178701400757,128625, dieſem,0.0,518,0.006848800461739302,254591,๲,3.4759830748762147e-26,123841,8.076708411851117,5.098296009909212,0.8065962247894605,8.520256483940523,2.359780831794632,5.634658303155052,1.7930536270141602,0.5625,0.3333333333333333,False
pos,orig,6,0.4339194893836975,255807,𝆣,0.0,523,0.0074398512952029705,255122,,9.287559204310956e-25,106335,7.199522595945619,5.072617968239489,0.8095931084720702,8.55308522026782,2.352759296107856,5.667487039482348,1.8094232082366943,0.639344262295082,0.6666666666666666,False
pos,orig,7,0.5935907363891602,255807,𝆣,0.0,477,0.006623305846005678,251525,,1.9103322229536325e-27,188781,12.418056836552546,5.601853644398878,0.8688167101578854,8.546972956856155,1.805036688859272,5.6613747760706845,1.8771477937698364,0.5625,0.6949152542372882,False
pos,orig,8,0.6946558952331543,255807,𝆣,0.0,460,0.007769976742565632,255245,,1.0783117753652307e-29,214648,14.480047644586415,5.804981321437036,0.8821715069626842,8.528742795864698,1.4321990256981316,5.643144615079227,1.8929306268692017,0.639344262295082,0.6666666666666666,False
pos,orig,9,0.8585749864578247,255807,𝆣,0.0,474,0.006588006392121315,255807,𝆣,7.319129575870164e-24,133788,13.66067964417858,6.45467467815664,0.9168296227472083,8.523797262756487,0.8490503141375956,5.638199081971016,1.9284793138504028,0.2987012987012987,0.28205128205128205,False
pos,orig,10,0.7447700500488281,255807,𝆣,0.0,428,0.014671025797724724,128625, dieſem,7.81644283400383e-42,228550,22.200564852027377,5.256091811902347,0.8690802735703327,8.345238683255289,1.0661161531322791,5.459640502469818,1.8840937614440918,0.8181818181818182,0.2345679012345679,False
pos,orig,11,0.6698055863380432,255807,𝆣,0.0,406,0.008765313774347305,255807,𝆣,5.492713057430514e-32,217509,33.37315359997802,5.442032574709181,0.886597867443603,8.492759897720578,1.4731653791249781,5.607161716935107,1.908057689666748,0.7857142857142857,0.8181818181818182,False
pos,orig,12,0.3918381631374359,255807,𝆣,0.0,402,0.014394083060324192,251525,,4.7223758247746335e-43,240631,33.68714163772764,4.566565209451106,0.8522807932557399,8.324418463541837,1.8362904080699667,5.4388202827563665,1.8855814933776855,0.8518518518518519,0.8181818181818182,False
pos,orig,13,0.6621560454368591,128625, dieſem,0.0,390,0.01612754724919796,251525,,0.0,206670,37.98271240835302,4.722705850412337,0.8528232265365612,8.222488473959071,1.4066625257500693,5.3368902931736,1.8847706317901611,0.8181818181818182,0.8867924528301887,False
pos,orig,14,0.7975077629089355,128625, dieſem,0.0,367,0.02041460946202278,251525,,0.0,1199,46.70360316485949,4.930774932975086,0.8638115420654877,7.876608661364049,0.8757074530386801,4.991010480578578,1.8885602951049805,0.8518518518518519,0.8518518518518519,False
pos,orig,15,0.6676800847053528,128625, dieſem,0.0,365,0.021970201283693314,251525,,0.0,1224,48.72101744565092,4.780700808040389,0.8620034884569671,7.792480939937394,1.0585272466803068,4.906882759151923,1.8968737125396729,0.8867924528301887,0.8181818181818182,False
pos,orig,16,0.9342994093894958,128625, dieſem,0.0,361,0.02135573700070381,128625, dieſem,0.0,1324,55.920106645316366,5.189056414249041,0.884039883485995,7.974840336022661,0.4012720277805782,5.08924215523719,1.9099953174591064,0.8867924528301887,0.9230769230769231,False
pos,orig,17,0.9748338460922241,128625, dieſem,0.0,95,0.02794252149760723,128625, dieſem,0.0,1032,57.3193024582879,4.989352223858958,0.8799230917766292,7.785550727038226,0.18789921524353442,4.899952546252755,1.898177981376648,0.8181818181818182,0.9230769230769231,False
pos,orig,18,0.6743850708007812,128625, dieſem,0.0,87,0.0352732390165329,199696,ſicht,0.0,835,52.49983676074304,3.9103361680334126,0.8115209909925797,7.299926067519327,0.9264296083270448,4.414327886733856,1.8565075397491455,0.8518518518518519,0.9230769230769231,False
pos,orig,19,0.9623415470123291,128625, dieſem,0.0,81,0.0340135395526886,128625, dieſem,0.0,876,60.42329487206332,4.636296607139337,0.853048136848227,7.5277734988966,0.24895344326079594,4.642175318111129,1.8637182712554932,0.7857142857142857,0.8867924528301887,False
pos,orig,20,0.8861859440803528,128625, dieſem,0.0,72,0.06505411118268967,199696,ſicht,0.0,688,48.22079833837981,3.5612409677978594,0.7371682689908456,6.209991521121105,0.6148274858928383,3.324393340335634,1.6925781965255737,0.8181818181818182,0.9230769230769231,False
pos,orig,21,0.9390206933021545,128625, dieſem,0.0,64,0.056526392698287964,199696,ſicht,0.0,700,55.44566017017295,3.8935833380128666,0.791244623416819,6.455999632498887,0.3321131818349009,3.5704014517134164,1.7803044319152832,0.7857142857142857,0.8518518518518519,False
pos,orig,22,0.8922724723815918,128625, dieſem,0.0,60,0.04928898438811302,128625, dieſem,0.0,688,55.370626203393314,3.777443453885212,0.7668176910386293,6.378438208682174,0.5936569375195792,3.492840027896703,1.758424162864685,0.8518518518518519,0.8867924528301887,False
pos,orig,23,0.9153439402580261,128625, dieſem,0.0,65,0.03924581781029701,128625, dieſem,0.0,787,62.01301444152188,4.265920617651322,0.8280332172845688,7.010409097195668,0.4298404528763638,4.124810916410197,1.8542168140411377,0.7857142857142857,0.7857142857142857,False
pos,orig,24,0.9871929883956909,128625, dieſem,0.0,52,0.07034611701965332,128625, dieſem,0.0,718,62.66817753446953,3.727116170763228,0.7861118441974811,6.4970415723007875,0.1116807502028308,3.6114433915153166,1.8336937427520752,0.8518518518518519,0.9230769230769231,False
pos,orig,25,0.8241206407546997,128625, dieſem,0.0,56,0.05389320105314255,128625, dieſem,0.0,775,67.85667672492977,3.6938464709191194,0.7923780320816676,6.994874248308532,0.6719480407282402,4.109276067523061,1.8328591585159302,0.639344262295082,0.7241379310344828,False
pos,orig,26,0.9999855756759644,128625, dieſem,0.0,44,0.07706982642412186,128625, dieſem,0.0,720,62.564822840607015,3.6974429721139623,0.7997301399212331,6.219813794277181,0.0002562010980083961,3.3342156134917103,1.8458313941955566,0.6949152542372882,0.7241379310344828,False
pos,orig,27,0.9999924898147583,128625, dieſem,0.0,35,0.06653539836406708,128625, dieſem,0.0,776,70.80935742661488,3.9096014581489267,0.8203232780420517,6.700719937787008,0.0001382895343509505,3.8151217570015374,1.8669142723083496,0.4925373134328358,0.8518518518518519,False
pos,orig,28,0.9999996423721313,128625, dieſem,0.0,35,0.05353931337594986,128625, dieſem,0.0,848,75.4337094946865,4.223249658180448,0.8473053781619415,7.140119788337605,8.282383963029819e-06,4.254521607552134,1.8929204940795898,0.5151515151515151,0.9230769230769231,False
pos,orig,29,0.998957633972168,128625, dieſem,0.0,46,0.03562818467617035,128625, dieſem,0.0,948,77.25993410216677,4.799742727143919,0.8851148180495503,7.574150340528265,0.011828511241042084,4.688552159742794,1.926659107208252,0.6666666666666666,0.8867924528301887,False
pos,orig,30,0.9999926090240479,128625, dieſem,0.0,42,0.04917561635375023,128625, dieſem,0.0,869,77.0991839821971,4.345786265024294,0.8567652838726503,7.330207396822043,0.0001368593092433633,4.444609216036572,1.9016337394714355,0.5625,0.7857142857142857,False
pos,orig,31,0.9999871253967285,128625, dieſem,0.0,41,0.035867415368556976,128625, dieſem,0.0,870,77.72189326099634,4.800964147930347,0.8874875336965162,7.565168030639002,0.00022695189184965205,4.679569849853531,1.9282395839691162,0.5873015873015873,0.7857142857142857,False
pos,orig,32,0.9994673132896423,128625, dieſem,0.0,33,0.003807495580986142,184138, zuſammen,8.346680568926956e-10,51836,88.70921816985394,8.062861056734246,0.9813156355754489,8.87355631602437,0.006560739076921569,5.987958135238899,1.9915653467178345,0.28205128205128205,0.47058823529411764,False
pos,orig,33,0.9910492897033691,128625, dieſem,0.0,33,0.050323545932769775,128625, dieſem,0.0,772,72.5680162419466,4.243781978936355,0.8386818670780414,6.944744745235041,0.07375395365383956,4.05914656444957,1.8814514875411987,0.47058823529411764,0.4925373134328358,False
pos,orig,34,0.8745064735412598,128625, dieſem,0.0,33,0.02660500444471836,128625, dieſem,0.0,948,79.63327267029422,4.769787476947238,0.8761328091299265,7.7383208514582815,0.5449506768733028,4.852722670672811,1.9130685329437256,0.4492753623188406,0.8181818181818182,False
pos,orig,35,0.8423450589179993,128625, dieſem,0.0,31,0.029102303087711334,128625, dieſem,0.0,891,80.10008036401692,4.577228821735203,0.8653245594364534,7.6506626701747145,0.6286704984477739,4.7650644893892435,1.9048168659210205,0.3888888888888889,0.8867924528301887,False
pos,orig,36,0.9990745782852173,199696,ſicht,0.0,31,0.0276553425937891,128625, dieſem,0.0,937,80.70341751702296,5.745999527358333,0.9303843063879723,7.657739412292417,0.010660228391080415,4.7721412315069465,1.9611716270446777,0.3698630136986301,0.8867924528301887,False
pos,orig,37,0.9348725080490112,199696,ſicht,0.0,27,0.02923746593296528,128625, dieſem,0.0,908,80.85554373894774,5.424169424694665,0.894281493340538,7.572387174391619,0.3474716410157455,4.686788993606148,1.9060906171798706,0.3333333333333333,0.8867924528301887,False
pos,orig,38,0.9977699518203735,199696,ſicht,0.0,22,0.02943750098347664,214340, パンチラ,0.0,920,81.47494544740559,5.912788990095689,0.9340031653274277,7.553551634469125,0.022857273596053992,4.667953453683654,1.9629019498825073,0.25,0.9607843137254902,False
pos,orig,39,0.5640984773635864,128625, dieſem,0.0,20,0.04074806720018387,128625, dieſem,0.0,802,77.68798103396861,4.033831406173168,0.8299778251178747,7.232439387390158,0.9881128198941743,4.346841206604687,1.8756911754608154,0.21951219512195122,0.9230769230769231,False
pos,orig,40,0.9999510049819946,199696,ſicht,0.0,15,0.005138926673680544,209936, 展板,2.638906794973539e-15,19499,88.90079858774787,7.941996465222089,0.9807249611610607,8.710522266451257,0.0007720912541810718,5.824924085665786,1.9917736053466797,0.1111111111111111,0.7241379310344828,False
pos,orig,41,0.9999953508377075,199696,ſicht,0.0,16,0.03377453610301018,128625, dieſem,0.0,811,77.48914157234707,5.531642415114739,0.9244183572165297,7.081689026672268,8.9983298464557e-05,4.196090845886797,1.9567577838897705,0.19047619047619047,0.5873015873015873,False
pos,orig,42,0.9999312162399292,199696,ſicht,0.0,15,0.035592660307884216,128625, dieſem,0.0,791,78.10993014890146,5.2901904681236145,0.9134257851169942,7.056523837267418,0.0010508686650850965,4.1709256564819475,1.9487886428833008,0.16279069767441862,0.8518518518518519,False
