layer,js_divergence,kl_raw_to_norm_bits,l1_prob_diff,topk_jaccard_raw_norm@50,lens_artifact_score_v2,risk_tier
_summary,0.5130147239844667,3.747231261608142,1.4322926998138428,0.25,0.7036585365853658,high
0,6.508956028680514e-05,0.00026027514699046827,0.014698113314807415,0.6666666666666666,,
1,0.031106019703965107,0.12833719469648408,0.3276450037956238,0.041666666666666664,,
2,0.03937633082395707,0.16387560367944942,0.3703893721103668,0.14942528735632185,,
3,0.043481717933787495,0.1817258549951512,0.3900187015533447,0.19047619047619047,,
4,0.06542722550629229,0.278802451174906,0.4802516996860504,0.21951219512195122,,
5,0.08029032628253147,0.3470405665013579,0.533657968044281,0.26582278481012656,,
6,0.10103543257321876,0.4478322459137256,0.5997284650802612,0.21951219512195122,,
7,0.11918716410142519,0.5369693060120616,0.6549808382987976,0.2987012987012987,,
8,0.1321015617074849,0.6115475187669082,0.6899305582046509,0.5384615384615384,,
9,0.18137779973100976,0.8735986017738003,0.8130432963371277,0.20481927710843373,,
10,0.2489054063566268,1.4391270888141636,0.9510013461112976,0.26582278481012656,,
11,0.333120398229679,2.433922208616287,1.1017634868621826,0.25,,
12,0.4540676059077449,4.072465932828291,1.302169919013977,0.2345679012345679,,
13,0.45631688100705414,3.62396785608175,1.30955970287323,0.21951219512195122,,
14,0.477414659221167,3.637403484732454,1.3464300632476807,0.20481927710843373,,
15,0.5036366605177371,3.4776405451787498,1.3904645442962646,0.28205128205128205,,
16,0.5130050069646929,3.747231261608142,1.4020137786865234,0.19047619047619047,,
17,0.53450230087676,4.003249107231442,1.4322926998138428,0.25,,
18,0.6119125734411959,5.496640506011141,1.5376811027526855,0.13636363636363635,,
19,0.6459449303505556,6.764240010056678,1.5805366039276123,0.12359550561797752,,
20,0.5786434325407026,4.4553271748383425,1.494955062866211,0.06382978723404255,,
21,0.6904219441316333,7.3104974971025625,1.6422419548034668,0.1111111111111111,,
22,0.7215295855782513,7.2691342937088494,1.6844642162322998,0.16279069767441862,,
23,0.877473284906414,11.371441968184252,1.8731136322021484,0.28205128205128205,,
24,0.9358995320271664,12.735696409945291,1.9371832609176636,0.20481927710843373,,
25,0.8966687415215019,11.074277273342025,1.8953546285629272,0.19047619047619047,,
26,0.9251280436253151,8.288917804750735,1.9325624704360962,0.28205128205128205,,
27,0.9464575899592969,7.9371788872061195,1.9415143728256226,0.3333333333333333,,
28,0.9434505163046234,6.373350961869653,1.9620730876922607,0.42857142857142855,,
29,0.8563834393920722,5.698627250143475,1.8684322834014893,0.4084507042253521,,
30,0.5130147239844667,1.842812506138637,1.4401686191558838,0.3888888888888889,,
31,0.7504461250572146,3.689583708934834,1.7467972040176392,0.42857142857142855,,
32,0.9532292348543692,8.593111774499027,1.9710036516189575,0.4492753623188406,,
33,0.987048333276659,8.62344607445821,1.9947590827941895,0.3698630136986301,,
34,0.9419192687726664,6.004955180623671,1.9688551425933838,0.28205128205128205,,
35,0.9599657952886653,6.6627454805458965,1.980260968208313,0.16279069767441862,,
36,0.02389695910606191,0.0694194749041442,0.09395729005336761,0.3888888888888889,,
37,0.9915411220564735,9.312419580704276,1.996854305267334,0.25,,
38,0.8644949581243538,4.4505866450499605,1.908531904220581,0.14942528735632185,,
39,0.10087533553586792,0.29991826606952804,0.37540334463119507,0.1111111111111111,,
40,0.447499695960451,1.5347449711449628,1.309758186340332,0.47058823529411764,,
