fact_key,fact_index,prompt_id,prompt_variant,layer,p_top1_raw,top1_token_id_raw,top1_token_str_raw,p_answer_raw,answer_rank_raw,p_top1_norm,top1_token_id_norm,top1_token_str_norm,p_answer_norm,answer_rank_norm,kl_norm_vs_raw_bits,kl_raw_to_norm_bits,js_divergence,entropy_bits_norm,entropy_bits_raw,entropy_gap_bits,l1_prob_diff,topk_jaccard_raw_norm@50,topk_jaccard_consecutive@50,norm_only_semantics
Japan→Tokyo,3,pos,orig,23,0.9318432807922363,128625, dieſem,0.0,65,0.04047684744000435,128625, dieſem,0.0,787,62.84828326989789,4.284174168283297,0.8310583921132456,7.005376196900819,0.36223286894363765,4.276535386862575,1.8520848751068115,0.7857142857142857,0.8181818181818182,False
Japan→Tokyo,3,pos,orig,24,0.993908166885376,128625, dieſem,0.0,50,0.07238767296075821,128625, dieſem,0.0,718,63.34079755441035,3.7332139876322197,0.7930546333279933,6.459595445763127,0.05952381890072745,3.730754635724882,1.843040943145752,0.8518518518518519,0.9230769230769231,False
Japan→Tokyo,3,pos,orig,25,0.778969407081604,128625, dieſem,0.0,53,0.05570013448596001,128625, dieſem,0.0,776,68.50907708857396,3.5939572274714915,0.7849927100926541,6.949574018071268,0.7623659846145396,4.220733208033023,1.8271923065185547,0.6949152542372882,0.7241379310344828,False
Japan→Tokyo,3,pos,orig,26,0.9997633099555969,128625, dieſem,0.0,46,0.0752987340092659,128625, dieſem,0.0,720,61.863397790438476,3.728050036557413,0.8020727371064669,6.1949753719089715,0.003311856807424122,3.4661345618707267,1.8489292860031128,0.7543859649122807,0.7241379310344828,False
Japan→Tokyo,3,pos,orig,27,0.9999709129333496,128625, dieſem,0.0,36,0.06600465625524521,128625, dieſem,0.0,776,70.80955004718385,3.9208295174931562,0.8212671188299869,6.676872823418371,0.00048034292518511876,3.9480320133801263,1.8679325580596924,0.5151515151515151,0.8518518518518519,False
Japan→Tokyo,3,pos,orig,28,0.9999980926513672,128625, dieſem,0.0,38,0.05306868255138397,128625, dieſem,0.0,852,75.38616523482078,4.2359581441833045,0.8483069621249039,7.106557030056426,3.890320201673468e-05,4.377716220018181,1.893858790397644,0.5625,0.9607843137254902,False
Japan→Tokyo,3,pos,orig,29,0.9987840056419373,128625, dieſem,0.0,47,0.03663308173418045,128625, dieſem,0.0,954,77.43151500155716,4.758028679142447,0.8822818338332127,7.527752860978497,0.013529015230122841,4.7989120509402525,1.9243018627166748,0.6666666666666666,0.8518518518518519,False
Japan→Tokyo,3,pos,orig,30,0.9999922513961792,128625, dieſem,0.0,42,0.04989189654588699,128625, dieſem,0.0,871,77.47680284904357,4.3249175462033,0.8551851932678483,7.275127545126117,0.00014362279151264006,4.546286735087872,1.900200605392456,0.5625,0.7857142857142857,False
Japan→Tokyo,3,pos,orig,31,0.9999765157699585,128625, dieſem,0.0,42,0.03794948384165764,128625, dieſem,0.0,871,77.6388242647684,4.719396560244435,0.8824221716763168,7.500627757284414,0.00039518161758629643,4.77178694724617,1.9240540266036987,0.639344262295082,0.7857142857142857,False
Japan→Tokyo,3,pos,orig,32,0.9984809756278992,128625, dieſem,0.0,34,0.003938225097954273,184138, zuſammen,4.76923667225293e-10,87134,88.71975176325398,8.011757443926268,0.9798830630894244,8.879454633018362,0.016415226733288036,6.150613822980118,1.9893759489059448,0.28205128205128205,0.4492753623188406,False
