layer,js_divergence,kl_raw_to_norm_bits,l1_prob_diff,topk_jaccard_raw_norm@50,lens_artifact_score_v2,risk_tier
_summary,0.3686982772310173,3.8148586235457174,1.0890852212905884,0.1111111111111111,0.9434426229508196,high
0,0.0007222012537440876,0.002890889968714447,0.05033918470144272,0.010101010101010102,,
1,0.0004728399721014694,0.001867119907887248,0.0350063182413578,0.8181818181818182,,
2,0.0011038576282978573,0.004350967586346838,0.05457320809364319,0.7241379310344828,,
3,0.042456170606933505,0.16034239210012388,0.3145802319049835,0.0989010989010989,,
4,0.04545354739605015,0.17228144922085142,0.327576220035553,0.0989010989010989,,
5,0.03983884994754894,0.1495278435420628,0.2963643968105316,0.1111111111111111,,
6,0.049078013238646384,0.1882067202232771,0.34066540002822876,0.0989010989010989,,
7,0.04816983735293397,0.18766402896847953,0.3282296657562256,0.0989010989010989,,
8,0.053991016097169504,0.22187898845739285,0.34756770730018616,0.07526881720430108,,
9,0.06376748006185157,0.2762189062958135,0.3870665431022644,0.08695652173913043,,
10,0.07510980037974788,0.34382778009842113,0.4263201355934143,0.07526881720430108,,
11,0.09514110342694475,0.47543937398251357,0.4952513873577118,0.07526881720430108,,
12,0.09249976162824669,0.5016951053764842,0.4829791188240051,0.07526881720430108,,
13,0.09986179071698391,0.6084862275815502,0.49685510993003845,0.06382978723404255,,
14,0.10763823350080642,0.691372019290662,0.5211746096611023,0.06382978723404255,,
15,0.1151986338283982,0.7891540883042562,0.5369983911514282,0.05263157894736842,,
16,0.12941770257281887,1.007315714758912,0.572833776473999,0.05263157894736842,,
17,0.15305603000330847,1.4530580274993528,0.626598596572876,0.05263157894736842,,
18,0.1850230687562881,2.1042644875812484,0.6974565982818604,0.041666666666666664,,
19,0.3686982772310173,6.7267704938785,1.0813380479812622,0.041666666666666664,,
20,0.3459048038239756,6.140101899394081,1.0342143774032593,0.041666666666666664,,
21,0.2702749494058499,3.8522545311493266,0.8813599944114685,0.041666666666666664,,
22,0.18193147100317336,1.7896132847298951,0.6992321610450745,0.06382978723404255,,
23,0.13208036484576607,0.8647776976023723,0.5807042717933655,0.0989010989010989,,
24,0.1311634554660645,0.8105048744956195,0.5765775442123413,0.0989010989010989,,
25,0.17684209590534705,1.4230376818693207,0.6864960193634033,0.0989010989010989,,
26,0.14482339786361453,0.973364017712807,0.6192371249198914,0.1111111111111111,,
27,0.23207823683524514,1.785515282125136,0.822173535823822,0.16279069767441862,,
28,0.22566588519565672,1.8006882795148567,0.8089898824691772,0.19047619047619047,,
29,0.35366305944246934,3.376715622207626,1.0890852212905884,0.19047619047619047,,
30,0.4339559547158481,4.677298303000935,1.242200493812561,0.17647058823529413,,
31,0.373294610315567,3.8148586235457174,1.1286433935165405,0.21951219512195122,,
32,0.3498773450849302,3.4278883720412514,1.0866236686706543,0.19047619047619047,,
33,0.3692237164761502,3.6037746851133443,1.1309677362442017,0.2345679012345679,,
34,0.5372306336500476,6.477090208939495,1.437759280204773,0.25,,
35,0.6536619638774207,8.218185468034482,1.62310791015625,0.26582278481012656,,
36,0.6819232924522594,8.19933823329173,1.6658958196640015,0.28205128205128205,,
37,0.8988125052645068,12.348716183447076,1.9197331666946411,0.25,,
38,0.9627711762895395,15.02001675798615,1.9695812463760376,0.21951219512195122,,
39,0.9942015646783331,15.15235121644965,1.9945892095565796,0.17647058823529413,,
40,0.998535355497425,15.388199968675666,1.9986447095870972,0.17647058823529413,,
41,0.9990536682114628,14.850659250306112,1.9991421699523926,0.17647058823529413,,
42,0.9981637869802359,15.396991721787773,1.9982737302780151,0.14942528735632185,,
43,0.9982648697832804,14.552076730490173,1.9980363845825195,0.17647058823529413,,
44,0.9989801886238816,13.459087084282023,1.9995789527893066,0.19047619047619047,,
45,0.9986959013020054,12.703808074752914,1.9994908571243286,0.26582278481012656,,
46,0.9986352344219136,12.499522954474449,1.9994169473648071,0.16279069767441862,,
47,0.9978337952688929,11.635644468162113,1.999234676361084,0.16279069767441862,,
48,0.9983722729487443,12.075270647881245,1.9994748830795288,0.13636363636363635,,
49,0.9979119183880473,11.643759297560424,1.999341368675232,0.13636363636363635,,
50,0.998375798593087,12.03316929495003,1.9995126724243164,0.1111111111111111,,
51,0.9973062384873712,11.202948501342147,1.9991458654403687,0.13636363636363635,,
52,0.9975987379808261,11.384642668533878,1.999251127243042,0.1111111111111111,,
53,0.9971902361893642,11.128424291139671,1.9991062879562378,0.1111111111111111,,
54,0.9966370969885268,10.834997123265996,1.9989044666290283,0.0989010989010989,,
55,0.9951447605313275,10.23195234076642,1.9983360767364502,0.1111111111111111,,
56,0.9879286264751003,8.760029880259227,1.9952212572097778,0.13636363636363635,,
57,0.9620059824801881,6.759019304707087,1.981500267982483,0.1111111111111111,,
58,0.8703203114787161,4.5337141153791976,1.9136526584625244,0.07526881720430108,,
59,0.5660768967183021,2.0872234146378563,1.5293338298797607,0.041666666666666664,,
60,0.920546554793318,5.439841171771888,1.9539377689361572,0.06382978723404255,,
