fact_key,fact_index,prompt_id,prompt_variant,layer,p_top1_raw,top1_token_id_raw,top1_token_str_raw,p_answer_raw,answer_rank_raw,p_top1_norm,top1_token_id_norm,top1_token_str_norm,p_answer_norm,answer_rank_norm,kl_norm_vs_raw_bits,kl_raw_to_norm_bits,js_divergence,entropy_bits_norm,entropy_bits_raw,entropy_gap_bits,l1_prob_diff,topk_jaccard_raw_norm@50,topk_jaccard_consecutive@50,norm_only_semantics
Germany→Berlin,0,pos,orig,0,8.334228368767072e-06,64023,CLICK,6.992195267230272e-06,13323,7.252558589243563e-06,64023,CLICK,6.74042894388549e-06,14864,0.0005307548358638571,0.0005276817796543849,0.00013065562084541607,17.212842335767995,17.21157929518006,14.090258597434307,0.021210666745901108,0.6949152542372882,,False
Germany→Berlin,0,pos,orig,1,3.634408494690433e-05,48777, Carp,5.927684469497763e-06,79867,8.218719813157804e-06,59817,apr,6.44022202322958e-06,103210,0.08617650237626301,0.08657772715181027,0.021252205198443033,17.21140043322316,17.105525161629604,14.088816694889474,0.2707425355911255,0.26582278481012656,0.0,False
Germany→Berlin,0,pos,orig,2,4.542643728200346e-05,100440,湾,6.462440978793893e-06,64056,8.68099868966965e-06,102267,财经,6.665607998002088e-06,60382,0.1090340876908717,0.10962000033561424,0.026779517993317965,17.210532264801607,17.073335512832912,14.087948526467919,0.3039952218532562,0.19047619047619047,0.16279069767441862,False
Germany→Berlin,0,pos,orig,3,6.062249303795397e-05,100440,湾,6.769598257960752e-06,56109,9.395150300406385e-06,30248,-looking,6.722308626194717e-06,57101,0.13358034378201308,0.13469553303478593,0.03270998096326114,17.20830887309125,17.02973584704738,14.085725134757563,0.3367375135421753,0.28205128205128205,0.19047619047619047,False
Germany→Berlin,0,pos,orig,4,9.307107393397018e-05,100440,湾,7.94877178122988e-06,39455,1.0730628673627507e-05,116023,院子,6.8928225118725095e-06,44884,0.17108455746000306,0.17287200539716727,0.04164421901437883,17.20588873322831,16.968684757713497,14.083304994894622,0.38070714473724365,0.2987012987012987,0.20481927710843373,False
Germany→Berlin,0,pos,orig,5,0.0002363199309911579,33323,-minded,1.6334623069269583e-05,8117,1.2270187653484754e-05,76540, (?),7.769468538754154e-06,9896,0.28521132016581446,0.28996163146746473,0.06822040917509978,17.2036543346283,16.820355912719755,14.081070596294612,0.48890191316604614,0.3333333333333333,0.20481927710843373,False
Germany→Berlin,0,pos,orig,6,0.0010910035343840718,33323,-minded,2.9518963856389746e-05,3012,1.4352421203511767e-05,398,ly,8.600102773925755e-06,5242,0.46407445944386017,0.48787058095651636,0.10902110300073155,17.196345759897234,16.54878705184014,14.073762021563546,0.6219720840454102,0.3888888888888889,0.25,False
Germany→Berlin,0,pos,orig,7,0.0029225521720945835,33323,-minded,3.481191015453078e-05,3208,4.8344285460188985e-05,76540, (?),1.286098631680943e-05,1810,0.6326454474658405,0.693124694485605,0.14621779557560527,17.146252029215123,16.13723119246423,14.023668290881435,0.7215069532394409,0.14942528735632185,0.13636363636363635,False
Germany→Berlin,0,pos,orig,8,0.004718168172985315,33323,-minded,2.8474376449594274e-05,5240,5.0455055315978825e-05,76540, (?),1.3371961358643603e-05,1999,0.7816596863189329,0.8996363451578024,0.17855045869540356,17.1322347552392,15.815590614681813,14.009651016905512,0.7991220951080322,0.17647058823529413,0.4084507042253521,False
Germany→Berlin,0,pos,orig,9,0.0075277043506503105,22619,ifiable,7.366021691268543e-06,28532,5.613356188405305e-05,76540, (?),9.404357115272433e-06,17918,1.0847871916492238,1.2433487463953259,0.23830425602153946,17.118844873973625,15.321364758827965,13.996261135639937,0.9333596229553223,0.20481927710843373,0.3333333333333333,False
