prompt_id,prompt_variant,layer,p_top1_raw,top1_token_id_raw,top1_token_str_raw,p_answer_raw,answer_rank_raw,p_top1_norm,top1_token_id_norm,top1_token_str_norm,p_answer_norm,answer_rank_norm,kl_norm_vs_raw_bits,norm_only_semantics
pos,orig,0,3.135347651550546e-05,19250,/******/,3.12329430016689e-05,25519,4.45477562607266e-05,28395,dabei,3.208026464562863e-05,11180,0.004316028571836106,False
pos,orig,1,3.141644629067741e-05,30597,,3.1212486646836624e-05,26550,0.0001193326897919178,17149,biologie,2.749821032921318e-05,21847,0.03644623284168928,False
pos,orig,2,3.147241659462452e-05,4604,",",3.120135443168692e-05,26557,0.0003075046988669783,4604,",",1.7862155800685287e-05,27602,0.1395264934507752,False
pos,orig,3,3.166856549796648e-05,27519,eston,3.11813346343115e-05,25779,0.0001881774514913559,22819,[…],2.2316893591778353e-05,25435,0.08755922676582648,False
pos,orig,4,3.18066704494413e-05,15389,kennis,3.117516098427586e-05,24149,0.000328941474435851,22819,[…],2.1496674889931455e-05,25144,0.11012756413397311,False
pos,orig,5,3.223915700800717e-05,22819,[…],3.121823101537302e-05,18783,0.0010920463828369975,22819,[…],2.3087148292688653e-05,22231,0.13650030822402456,False
pos,orig,6,3.2526968425372615e-05,22819,[…],3.1262832635547966e-05,14909,0.0010619949316605926,22819,[…],2.6202415028819814e-05,19005,0.12476456684336391,False
pos,orig,7,3.25227010762319e-05,22819,[…],3.130578261334449e-05,12644,0.0007455924060195684,22819,[…],2.7679430786520243e-05,16499,0.15654085533870532,False
pos,orig,8,3.269307853770442e-05,22819,[…],3.13328746415209e-05,11918,0.0010417059529572725,22819,[…],3.0319130019051954e-05,14140,0.13983901817413996,False
pos,orig,9,3.269839726272039e-05,15389,kennis,3.128589742118493e-05,14375,0.0008096365490928292,22819,[…],2.759129711193964e-05,16025,0.1840106875075263,False
pos,orig,10,3.284050399088301e-05,15389,kennis,3.112681952188723e-05,20786,0.0009244317770935595,22819,[…],2.2901451302459463e-05,20768,0.17730405205448024,False
pos,orig,11,3.3084357710322365e-05,22819,[…],3.100034882663749e-05,24291,0.0025548499543219805,22819,[…],1.954672552528791e-05,23326,0.22106783228459842,False
pos,orig,12,3.3519409043947235e-05,22819,[…],3.075624044868164e-05,28797,0.005416355095803738,22819,[…],1.3035090887569822e-05,27763,0.3131648857869342,False
pos,orig,13,3.402511356398463e-05,22819,[…],3.0651306587969884e-05,29386,0.003751728218048811,22819,[…],1.3790290722681675e-05,28548,0.2292963852107922,False
pos,orig,14,3.4494110877858475e-05,22819,[…],3.0433229767368175e-05,30370,0.007233885582536459,22819,[…],1.0189016393269412e-05,30235,0.29881108475893603,False
pos,orig,15,3.568150714272633e-05,22819,[…],3.0871164199197665e-05,23784,0.020658811554312706,22819,[…],1.7039830709109083e-05,22576,0.49496473631761906,False
pos,orig,16,3.53539981006179e-05,22819,[…],3.1089821277419105e-05,18463,0.005789982154965401,22819,[…],2.4076312911347486e-05,16648,0.34343645507421416,False
pos,orig,17,3.664246833068319e-05,15389,kennis,3.176382597303018e-05,8840,0.003180468687787652,22819,[…],3.898003342328593e-05,7659,0.31104117952058613,False
pos,orig,18,3.7935402360744774e-05,3768,simply,3.237191776861437e-05,3892,0.008554670959711075,22819,[…],5.116351894685067e-05,4224,0.4126057274681,False
