prompt_id,prompt_variant,layer,p_top1_raw,top1_token_id_raw,top1_token_str_raw,p_answer_raw,answer_rank_raw,p_top1_norm,top1_token_id_norm,top1_token_str_norm,p_answer_norm,answer_rank_norm,kl_norm_vs_raw_bits,norm_only_semantics
pos,orig,0,1.0,6574, simply,6.665125191535285e-30,53529,0.9999761581420898,6574, simply,3.78068819198267e-14,160330,0.0007064566955274777,False
pos,orig,1,0.28942352533340454,128625, dieſem,0.0,520,0.0036406624130904675,253613,󠁁,3.182086154158146e-15,236789,11.203768514621462,False
pos,orig,2,0.5512384176254272,128625, dieſem,0.0,502,0.003793970914557576,253613,󠁁,7.779866330423924e-15,217224,13.368642096123876,False
pos,orig,3,0.7061742544174194,128625, dieſem,0.0,485,0.9160849452018738,6574, simply,2.9396833856054627e-09,125729,97.00820934243102,False
pos,orig,4,0.604412317276001,128625, dieſem,0.0,503,0.9437535405158997,6574, simply,3.150549332531227e-08,53684,98.7723055612524,False
pos,orig,5,0.5768178701400757,128625, dieſem,0.0,518,0.006848800461739302,254591,๲,3.4759830748762147e-26,123841,8.076708411851117,False
pos,orig,6,0.4339194893836975,255807,𝆣,0.0,523,0.0074398512952029705,255122,,9.287559204310956e-25,106335,7.199522595945619,False
pos,orig,7,0.5935907363891602,255807,𝆣,0.0,477,0.006623305846005678,251525,,1.9103322229536325e-27,188781,12.418056836552546,False
pos,orig,8,0.6946558952331543,255807,𝆣,0.0,460,0.007769976742565632,255245,,1.0783117753652307e-29,214648,14.480047644586415,False
pos,orig,9,0.8585749864578247,255807,𝆣,0.0,474,0.006588006392121315,255807,𝆣,7.319129575870164e-24,133788,13.66067964417858,False
pos,orig,10,0.7447700500488281,255807,𝆣,0.0,428,0.014671025797724724,128625, dieſem,7.81644283400383e-42,228550,22.200564852027377,False
pos,orig,11,0.6698055863380432,255807,𝆣,0.0,406,0.008765313774347305,255807,𝆣,5.492713057430514e-32,217509,33.37315359997802,False
pos,orig,12,0.3918381631374359,255807,𝆣,0.0,402,0.014394083060324192,251525,,4.7223758247746335e-43,240631,33.68714163772764,False
pos,orig,13,0.6621560454368591,128625, dieſem,0.0,390,0.01612754724919796,251525,,0.0,206670,37.98271240835302,False
pos,orig,14,0.7975077629089355,128625, dieſem,0.0,367,0.02041460946202278,251525,,0.0,1199,46.70360316485949,False
pos,orig,15,0.6676800847053528,128625, dieſem,0.0,365,0.021970201283693314,251525,,0.0,1224,48.72101744565092,False
pos,orig,16,0.9342994093894958,128625, dieſem,0.0,361,0.02135573700070381,128625, dieſem,0.0,1324,55.920106645316366,False
pos,orig,17,0.9748338460922241,128625, dieſem,0.0,95,0.02794252149760723,128625, dieſem,0.0,1032,57.3193024582879,False
pos,orig,18,0.6743850708007812,128625, dieſem,0.0,87,0.0352732390165329,199696,ſicht,0.0,835,52.49983676074304,False
pos,orig,19,0.9623415470123291,128625, dieſem,0.0,81,0.0340135395526886,128625, dieſem,0.0,876,60.42329487206332,False
pos,orig,20,0.8861859440803528,128625, dieſem,0.0,72,0.06505411118268967,199696,ſicht,0.0,688,48.22079833837981,False
pos,orig,21,0.9390206933021545,128625, dieſem,0.0,64,0.056526392698287964,199696,ſicht,0.0,700,55.44566017017295,False
pos,orig,22,0.8922724723815918,128625, dieſem,0.0,60,0.04928898438811302,128625, dieſem,0.0,688,55.370626203393314,False
pos,orig,23,0.9153439402580261,128625, dieſem,0.0,65,0.03924581781029701,128625, dieſem,0.0,787,62.01301444152188,False
pos,orig,24,0.9871929883956909,128625, dieſem,0.0,52,0.07034611701965332,128625, dieſem,0.0,718,62.66817753446953,False
pos,orig,25,0.8241206407546997,128625, dieſem,0.0,56,0.05389320105314255,128625, dieſem,0.0,775,67.85667672492977,False
pos,orig,26,0.9999855756759644,128625, dieſem,0.0,44,0.07706982642412186,128625, dieſem,0.0,720,62.564822840607015,False
pos,orig,27,0.9999924898147583,128625, dieſem,0.0,35,0.06653539836406708,128625, dieſem,0.0,776,70.80935742661488,False
pos,orig,28,0.9999996423721313,128625, dieſem,0.0,35,0.05353931337594986,128625, dieſem,0.0,848,75.4337094946865,False
pos,orig,29,0.998957633972168,128625, dieſem,0.0,46,0.03562818467617035,128625, dieſem,0.0,948,77.25993410216677,False
pos,orig,30,0.9999926090240479,128625, dieſem,0.0,42,0.04917561635375023,128625, dieſem,0.0,869,77.0991839821971,False
pos,orig,31,0.9999871253967285,128625, dieſem,0.0,41,0.035867415368556976,128625, dieſem,0.0,870,77.72189326099634,False
pos,orig,32,0.9994673132896423,128625, dieſem,0.0,33,0.003807495580986142,184138, zuſammen,8.346680568926956e-10,51836,88.70921816985394,False
pos,orig,33,0.9910492897033691,128625, dieſem,0.0,33,0.050323545932769775,128625, dieſem,0.0,772,72.5680162419466,False
pos,orig,34,0.8745064735412598,128625, dieſem,0.0,33,0.02660500444471836,128625, dieſem,0.0,948,79.63327267029422,False
pos,orig,35,0.8423450589179993,128625, dieſem,0.0,31,0.029102303087711334,128625, dieſem,0.0,891,80.10008036401692,False
pos,orig,36,0.9990745782852173,199696,ſicht,0.0,31,0.0276553425937891,128625, dieſem,0.0,937,80.70341751702296,False
pos,orig,37,0.9348725080490112,199696,ſicht,0.0,27,0.02923746593296528,128625, dieſem,0.0,908,80.85554373894774,False
pos,orig,38,0.9977699518203735,199696,ſicht,0.0,22,0.02943750098347664,214340, パンチラ,0.0,920,81.47494544740559,False
pos,orig,39,0.5640984773635864,128625, dieſem,0.0,20,0.04074806720018387,128625, dieſem,0.0,802,77.68798103396861,False
pos,orig,40,0.9999510049819946,199696,ſicht,0.0,15,0.005138926673680544,209936, 展板,2.638906794973539e-15,19499,88.90079858774787,False
pos,orig,41,0.9999953508377075,199696,ſicht,0.0,16,0.03377453610301018,128625, dieſem,0.0,811,77.48914157234707,False
pos,orig,42,0.9999312162399292,199696,ſicht,0.0,15,0.035592660307884216,128625, dieſem,0.0,791,78.10993014890146,False
pos,orig,43,0.9999998807907104,199696,ſicht,0.0,15,0.03671713545918465,128625, dieſem,0.0,798,78.70189168144883,False
pos,orig,44,0.9997959733009338,251525,,0.0,18,0.027722595259547234,128625, dieſem,0.0,855,78.06635387275644,False
pos,orig,45,0.9999972581863403,7,<unused0>,0.0,13,0.035569917410612106,114402, Geſch,2.802596928649634e-45,60503,87.44260034277953,False
pos,orig,46,0.8898244500160217,251525,,0.0,16,0.9840677976608276,12514, Berlin,0.9840677976608276,1,99.53977194935224,True
pos,no_filler,0,1.0,3151, called,2.830622934463699e-30,110902,0.0034738020040094852,254591,๲,1.8057433835732624e-17,224718,82.42874196703383,False
pos,no_filler,1,0.4301399290561676,199696,ſicht,0.0,502,0.00568334199488163,195351,niſſe,9.901451193933248e-17,249831,18.26201217839751,False
pos,no_filler,2,0.442444771528244,199696,ſicht,0.0,482,0.005078842397779226,195351,niſſe,1.2618281578982834e-16,248651,20.297490140974364,False
pos,no_filler,3,0.2834192216396332,255245,,0.0,494,0.967136561870575,3151, called,1.088454881781331e-09,157775,98.89229166538394,False
pos,no_filler,4,0.25582021474838257,255245,,0.0,502,0.8789728879928589,3151, called,4.5792621250484444e-08,143116,97.80019908068269,False
pos,no_filler,5,0.24066221714019775,255245,,0.0,515,0.01611592248082161,253441,,1.8395171992718478e-28,216335,9.615092535888335,False
pos,no_filler,6,0.40468570590019226,255245,,0.0,511,0.013582148589193821,255245,,2.3090405030083627e-28,219437,10.149829249118222,False
pos,no_filler,7,0.2673496603965759,251525,,0.0,467,0.012410673312842846,255245,,5.028255256016664e-32,249390,15.479520004561403,False
pos,no_filler,8,0.352465957403183,251525,,0.0,460,0.009672448970377445,251525,,6.569469115393194e-33,250476,15.85610972722509,False
pos,no_filler,9,0.39017555117607117,255245,,0.0,467,0.010815620422363281,255245,,1.1478153671440403e-28,246573,15.418964225262005,False
pos,no_filler,10,0.5193300247192383,255245,,0.0,424,0.02882804349064827,255245,,0.0,245910,21.648609235793106,False
pos,no_filler,11,0.5288717746734619,251525,,0.0,416,0.013889566995203495,255245,,4.156065484076596e-32,245604,31.363603741845235,False
pos,no_filler,12,0.5306631922721863,251525,,0.0,409,0.01764482632279396,251525,,1.425120538218339e-42,248734,28.760843069189214,False
pos,no_filler,13,0.3987233340740204,199696,ſicht,0.0,400,0.018059387803077698,128625, dieſem,0.0,223863,32.6701573163112,False
pos,no_filler,14,0.5549003481864929,199696,ſicht,0.0,376,0.022679006680846214,128625, dieſem,0.0,1439,38.656906413514534,False
pos,no_filler,15,0.5203022360801697,199696,ſicht,0.0,367,0.020111583173274994,128625, dieſem,0.0,1135,49.08465756263524,False
pos,no_filler,16,0.5132132172584534,128625, dieſem,0.0,368,0.026808155700564384,128625, dieſem,0.0,1473,49.15385237445278,False
pos,no_filler,17,0.664383590221405,128625, dieſem,0.0,363,0.029940476641058922,128625, dieſem,0.0,1053,52.912341964351704,False
pos,no_filler,18,0.6138759255409241,128625, dieſem,0.0,101,0.04309089109301567,128625, dieſem,0.0,838,49.584089677296014,False
pos,no_filler,19,0.8770462274551392,128625, dieſem,0.0,89,0.042064081877470016,128625, dieſem,0.0,872,56.03753915104791,False
pos,no_filler,20,0.9117838144302368,128625, dieſem,0.0,78,0.08324554562568665,128625, dieſem,0.0,690,44.75816843896836,False
pos,no_filler,21,0.6817348599433899,128625, dieſem,0.0,77,0.0673433244228363,128625, dieſem,0.0,699,47.367824927993375,False
pos,no_filler,22,0.581972062587738,128625, dieſem,0.0,73,0.05981738865375519,128625, dieſem,0.0,692,48.26639988222138,False
pos,no_filler,23,0.7786347270011902,128625, dieſem,0.0,76,0.038981400430202484,128625, dieſem,0.0,786,56.339414106731965,False
pos,no_filler,24,0.5160195827484131,128625, dieſem,0.0,65,0.057727325707674026,199696,ſicht,0.0,722,56.19683085813825,False
pos,no_filler,25,0.9934948086738586,199696,ſicht,0.0,62,0.07403042912483215,199696,ſicht,0.0,775,62.76379438490442,False
pos,no_filler,26,0.9605720043182373,199696,ſicht,0.0,55,0.05985528975725174,199696,ſicht,0.0,720,57.34006145217764,False
pos,no_filler,27,0.9980216026306152,199696,ſicht,0.0,52,0.05694969370961189,199696,ſicht,0.0,781,67.23346663265123,False
